fight_url,fighter_1,fighter_2,has_strike_data,result
http://ufcstats.com/fight-details/79dfbbdd14fbbd11,Rose Namajunas,Miranda Maverick,True,"W
  


Rose Namajunas 


      ""Thug"""
http://ufcstats.com/fight-details/ab325ea526824723,Jamey-Lyn Horth,Vanessa Demopoulos,True,"W
  


Jamey-Lyn Horth"
http://ufcstats.com/fight-details/2ae7404681deb3b3,Phil Rowe,Ange Loosa,True,"W
  


Phil Rowe 


      ""The Fresh Prince"""
http://ufcstats.com/fight-details/e861e9cc0118c670,Michael Chiesa,Court McGee,True,"W
  


Michael Chiesa 


      ""Maverick"""
http://ufcstats.com/fight-details/b39b8ff0d7de211a,Cody Durden,Jose Ochoa,True,"L
  


Cody Durden 


      ""Custom Made"""
http://ufcstats.com/fight-details/13e2ff8b3a122094,Paul Craig,Rodolfo Bellato,True,
http://ufcstats.com/fight-details/59c4fdb3c0673066,Ricky Simon,Cameron Smotherman,True,"W
  


Ricky Simon"
http://ufcstats.com/fight-details/ec2034b134ae71cd,Alonzo Menifield,Oumar Sy,True,"W
  


Alonzo Menifield 


      ""Atomic"""
http://ufcstats.com/fight-details/d75b3d3c2b209b75,Kamaru Usman,Joaquin Buckley,True,"W
  


Kamaru Usman 


      ""The Nigerian Nightmare"""
http://ufcstats.com/fight-details/e5bd7e6e2a50a843,Edmen Shahbazyan,Andre Petroski,True,"W
  


Edmen Shahbazyan 


      ""The Golden Boy"""
